task_id,length,deadline,vm_id,thread,start_time,finish_time,exec_time,cost
665,1427,1823,2,0,6.33833,7.52916,1.19083,0.03568
666,1100,1978,2,0,7.63916,8.66666,1.02750,0.02750
667,713,1070,2,0,8.77666,9.37083,0.59417,0.01782
669,884,1550,2,0,9.48083,10.32833,0.84750,0.02210
670,252,1213,2,1,0.94750,1.17659,0.22909,0.00458
671,530,826,0,0,0.94750,1.38875,0.44125,0.02319
672,907,1302,2,0,0.94750,1.81333,0.86583,0.02268
673,1334,2199,2,0,1.92333,3.06917,1.14583,0.03335
674,905,1453,2,0,3.17917,4.04333,0.86417,0.02263
675,912,1564,2,0,4.15333,5.02333,0.87000,0.02280
676,1971,2939,2,0,5.13333,6.77667,1.64333,0.04928
677,624,1003,2,0,6.88667,7.47750,0.59083,0.01560
678,1666,2664,2,0,7.58750,9.08667,1.49917,0.04165
679,598,1001,2,0,9.19667,9.69500,0.49833,0.01495
680,651,1601,2,0,0.59833,1.14083,0.54250,0.01627
681,1976,2232,2,0,1.25083,2.89750,1.64667,0.04940
682,1951,2724,2,0,3.00750,4.74333,1.73583,0.04877
683,1229,2196,2,0,4.85333,5.96416,1.11083,0.03073
684,1095,1637,2,0,6.07416,7.09750,1.02333,0.02738
685,420,1397,2,0,7.20750,7.66750,0.46000,0.01050
686,1643,2248,2,0,7.77750,9.25750,1.48000,0.04108
687,1436,2238,2,0,9.36750,10.67500,1.30750,0.03590
688,1464,1943,2,0,10.78500,12.00583,1.22083,0.03660
689,717,1047,2,0,12.11583,12.71333,0.59750,0.01793
695,495,825,1,0,0.69750,1.05107,0.35357,0.01768
694,616,986,0,0,0.69750,1.16107,0.46357,0.02695
690,967,1373,2,0,0.69750,1.61333,0.91583,0.02418
691,1594,2261,2,0,1.72333,3.16250,1.43917,0.03985
692,1014,1384,2,0,3.27250,4.22750,0.95500,0.02535
693,1713,2366,2,0,4.33750,5.76500,1.42750,0.04282
696,846,1791,2,0,5.87500,6.58083,0.70583,0.02115
697,1221,2153,2,0,6.69083,7.72500,1.03417,0.03053
698,1151,1492,2,0,7.83500,8.90500,1.07000,0.02878
699,644,1025,2,0,9.01500,9.55167,0.53667,0.01610
700,187,833,0,1,0.63667,0.76134,0.12467,0.00748
705,286,552,1,1,0.63667,0.87134,0.23467,0.00880
701,1672,2265,2,0,0.63667,2.09167,1.45500,0.04180
702,1319,2157,2,0,2.20167,3.31250,1.11083,0.03298
703,833,1782,2,0,3.42250,4.11667,0.69417,0.02083
704,809,1158,2,0,4.22667,4.90084,0.67417,0.02023
706,1256,2173,2,0,5.01084,6.12167,1.11083,0.03140
707,1133,1786,2,0,6.23167,7.17667,0.94500,0.02833
708,543,1075,2,0,7.28667,7.84917,0.56250,0.01358
709,618,1236,2,0,7.95917,8.47417,0.51500,0.01545
719,451,817,0,0,0.61500,0.89688,0.28188,0.01973
710,1977,2887,2,0,0.61500,2.37250,1.75750,0.04943
711,881,1279,2,0,2.48250,3.21667,0.73417,0.02203
712,1729,2283,2,0,3.32667,4.87917,1.55250,0.04323
713,631,1525,2,0,4.98917,5.51500,0.52583,0.01578
